"northing","easting"
149956.757127307,585626.24214422
142920.667744726,588844.872130044
141635.422985069,587910.423986707
143483.567375626,589331.682215329
148918.425255921,590371.682366915
151633.757746592,591237.072218396
144356.532422286,586600.534095857
144892.187349517,584992.647772245
149483.136501033,586064.624187965
150239.965399448,588308.592621926
149943.262775987,589680.269827321
149439.51443499,592081.938128639
146071.997978874,595829.925518185
143180.145772435,600029.040213861
142299.562416505,598085.91377493
147887.852901556,589091.217874158
139452.981023025,590305.642199256
145219.010863308,593370.733632814
148559.085137211,588813.560930919
143588.358988427,592967.775106058
138522.063594807,592187.499041129
142941.169607174,592430.141141154
141879.906466231,585703.895392828
142953.115887567,586689.452338498
141615.553896967,581563.407763559
145492.582413182,589401.235123537
141620.057380851,589466.450477112
143754.340022486,589002.726440355
142961.098276079,588816.875513643
138479.455343261,582658.388908952
141898.175016306,584690.426309463
147028.799218498,587810.921261571
147164.046528824,587860.472128242
138498.139281943,587017.998419702
147162.673542555,585492.233525403
138974.465256315,586783.564626835
146689.141326677,586678.420152236
143018.843909319,585878.678451519
140367.311880298,588020.741238307
128854.851730913,598060.15406521
131333.036524896,600123.378999811
134058.572464157,591414.943844266
131887.585319951,594910.799523164
132229.894960716,593044.272204474
127504.105543151,593380.156438146
125237.780264407,599419.620903559
143008.569877166,597506.853058748
148785.271135811,599648.489826359
138770.236331079,605369.222012237
148427.743743736,598488.273469597
143871.769132674,607021.190123055
137934.420920108,615007.486422695
144177.752277225,603997.551625341
145219.122245222,605401.846603543
147961.944678202,601384.820444811
139213.955100905,599010.243974254
149844.405490678,599848.706346523
142320.855201501,586152.493236493
138151.576862466,595771.811467949
135935.114753153,593907.769248076
138157.76541125,586139.97689357
142140.347523838,597436.899329703
136867.443481702,594851.757938042
137194.326430373,592854.279896151
143238.208393101,590699.002016522
142529.380427748,594454.707803503
140562.895684596,589718.799791392
144667.759393994,590722.758008726
136263.609068934,597785.770715866
144586.039250549,588296.797280144
141638.600577414,588377.045694105
138998.755099345,595134.982396942
145780.099479701,593561.977017809
140151.091720536,597590.676649567
140018.693102188,597139.839531481
136205.721859913,590033.487265371
139888.967410661,592598.770747054
145925.520979054,596799.732005198
143410.051523838,592665.104061142
137497.205861416,594299.259116743
138977.771746736,592551.276523612
143645.42825371,595655.176269263
142107.584707253,592120.223584492
136938.266926479,595575.30417284
140028.537963796,587846.657396387
130184.897132833,608910.88885827
135692.503499053,604655.753063224
138192.026500721,601879.063038118
137368.476742338,607295.717135482
135795.966026839,601684.605821222
141717.989610694,602562.421575282
138171.463137474,603928.460162822
132391.37019318,602747.953690104
136015.347901825,603096.133987885
136810.521731619,609152.293139696
132062.446934544,606370.643639099
131128.943115193,610869.240489881
131522.719573416,609113.087988552
133642.138530686,608233.502733149
130277.155000065,601957.558150869
138633.589127779,604569.697913084
151554.518249631,607534.678861499
146843.770177066,608085.551895835
139321.687030233,605299.33531573
146410.504260752,608045.430395659
136298.006037697,609546.696372349
142225.926101301,610676.503667329
139798.352574013,604821.556085784
135949.650697038,612420.012709964
142609.006841723,605799.877884965
141856.630977429,611453.725338634
128408.065039404,606398.921004329
132926.699895892,600852.01022749
136544.592497218,602646.92680249
142927.627648413,610345.841307472
146824.511980433,609378.731690124
142418.113234963,602964.646397233
139573.017561156,609485.722724814
141277.342085902,602348.106707171
126140.105964243,599117.162145115
126236.699099932,598877.111027725
125647.373070754,594271.873860825
120339.529820997,586739.306678791
126084.293484408,601603.990449198
127448.254345208,595759.730597846
133243.404313195,596724.373520259
120099.513835572,599742.990287375
128135.54212084,598466.22732209
128930.108048208,600488.201464526
127010.380983874,597453.174718861
123867.740959581,599868.712573312
120687.31400473,601028.943312541
